"RootAr","WordAr","GrammarFormDesc"
أَبَارِيق,وَّاَبَارِيۡقَ ۙ,Noun
إِبْرَاهِيم,اِبۡرٰهٖمَ,Proper noun
إِبْرَاهِيم,اِبۡرٰهٖمَ,Proper noun
إِبْرَاهِيم,اِبۡرٰهٖمَ,Proper noun
إِبْرَاهِيم,اِبۡرٰهٖمُ,Proper noun
إِبْرَاهِيم,اِبۡرٰهٖمُ,Proper noun
إِبْرَاهِيم,اِبۡرٰهٖمَ,Proper noun
إِبْرَاهِيم,اِبۡرٰهٖمُ,Proper noun
إِبْرَاهِيم,اِبۡرٰهٖمَ,Proper noun
إِبْرَاهِيم,اِبۡرٰهٖمَ,Proper noun
إِبْرَاهِيم,اِبۡرٰهٖمَ,Proper noun
إِبْرَاهِيم,اِبۡرٰهٖمَ,Proper noun
إِبْرَاهِيم,اِبۡرٰهٖمَ,Proper noun
إِبْرَاهِيم,اِبۡرٰهٖمُ,Proper noun
إِبْرَاهِيم,اِبۡرٰهٖمُ,Proper noun
إِبْرَاهِيم,اِبۡرٰهٖمُ,Proper noun
إِبْرَاهِيم,اِبۡرٰهِيۡمَ,Proper noun
إِبْرَاهِيم,اِبۡرٰهِيۡمَ,Proper noun
إِبْرَاهِيم,اِبۡرٰهِيۡمُ,Proper noun
إِبْرَاهِيم,بِاِبۡرٰهِيۡمَ,Proper noun
إِبْرَاهِيم,اِبۡرٰهِيۡمَ,Proper noun
إِبْرَاهِيم,اِبۡرٰهِيۡمَ,Proper noun
إِبْرَاهِيم,اِبۡرٰهِيۡمَۚ ,Proper noun
إِبْرَاهِيم,اِبۡرٰهِيۡمَ,Proper noun
إِبْرَاهِيم,اِبۡرٰهِيۡمَ,Proper noun
إِبْرَاهِيم,اِبۡرٰهِيۡمَ,Proper noun
إِبْرَاهِيم,اِبۡرٰهِيۡمَ,Proper noun
إِبْرَاهِيم,اِبۡرٰهِيۡمُ,Proper noun
إِبْرَاهِيم,اِبۡرٰهِيۡمَ,Proper noun
إِبْرَاهِيم,اِبۡرٰهِيۡمَ,Proper noun
إِبْرَاهِيم,اِبۡرٰهِيۡمَ,Proper noun
إِبْرَاهِيم,اِبۡرٰهِيۡمَ,Proper noun
إِبْرَاهِيم,اِبۡرٰهِيۡمَ,Proper noun
إِبْرَاهِيم,اِبۡرٰهِيۡمَ,Proper noun
إِبْرَاهِيم,اِبۡرٰهِيۡمَ,Proper noun
إِبْرَاهِيم,اِبۡرٰهِيۡمَ,Proper noun
إِبْرَاهِيم,اِبۡرٰهِيۡمَ,Proper noun
